Title	Year	Length	Rating	Action/Animation/Comedy/Drama/Documentary/Romance
(Entre nous)	2002	82	NR	000100
(Haru)	1996	118	NR	000101
(Paris: XY)	2001	80	NR	000100
(T)Raumschiff Surprise - Periode 1	2004	87	NR	001000
*Corpus Callosum	2002	92	NR	000100
*batteries not included	1987	106	NR	001000
+1 -1	1987	7	NR	011000
-30-	1959	96	NR	000100
-But the Flesh Is Weak	1932	77	NR	001000
...4 ...3 ...2 ...1 ...morte	1967	95	NR	000000
...All the Marbles	1981	113	NR	101101
...Almost	1990	84	NR	000101
...And Justice for All	1979	119	NR	000100
...And Millions Die!	1973	93	NR	000000
...Because She Disobeyed	1935	104	NR	001100
...Belpaese, Il	1977	109	NR	001100
...Comme elle respire	1998	106	NR	001000
...Is It the Design on the Wrapper?	1997	8	NR	000000
...Ja teeb trikke	1978	10	NR	011000
...Lost	2000	5	NR	000000
...Maybe This Time	1980	96	NR	000100
...Po prozvishchu 'Zver'	1990	88	NR	100000
...Quando Troveja	1999	92	NR	000100
...To Skin a Cat	2004	22	NR	001000
...a tutte le auto della polizia	1975	90	NR	000000
...a zase ta Lucie!	1984	82	NR	001000
...al fin, el mar	2005	95	NR	000101
...ani smrt nebere	1996	88	NR	000000
...borgnes sont rois, Les	1974	15	NR	000000
...dopo di che, uccide il maschio e lo divora	1971	96	NR	000100
...e per tetto un cielo di stelle	1968	100	NR	000000
...e tanta paura	1976	98	NR	000000
...som havets nakna vind	1968	105	NR	000101
...tick...tick...tick...	1970	100	NR	100100
...und abends in die Scala	1958	94	NR	000000
...und das ist erst der Anfang	2000	95	NR	001001
...und die Liebe lacht dazu	1957	97	NR	000000
...ya no puede caminar.	2001	14	NR	000000
.com for Murder	2002	96	NR	000000
00 Schneider - Jagd auf Nihil Baxter	1994	90	NR	001000
002 agenti segretissimi	1964	83	NR	101000
002 operazione Luna	1965	90	NR	001000
06	1994	87	NR	000101
06/05	2004	117	NR	000100
07 con el 2 delante (Agente: Jaime Bonet)	1966	101	NR	001000
08/15	1954	95	NR	000100
08/15 - In der Heimat	1955	96	NR	000100
08/15 - Zweiter Teil	1955	110	NR	000100
1 Giant Leap	2002	155	NR	000010
1+1=3	1979	85	NR	001000
1,000 Dollars a Minute	1935	70	NR	001000
1,99 - Um Supermercado Que Vende Palavras	2003	72	NR	001010
1-2-3-4 ou Les Collants noirs	1960	125	NR	000100
1. April 2000	1952	105	NR	000000
1/2 Mensch	1986	48	NR	000010
10	1979	122	NR	001001
10 Magnificent Killers	1977	84	NR	100100
10 Rillington Place	1971	111	NR	000100
10 Seconds	1998	10	NR	000000
10 Things I Hate About You	1999	97	PG-13	001001
10 Violent Women	1982	95	NR	100100
10 from Your Show of Shows	1973	92	NR	001000
10 jaar leuven kort	2004	240	NR	000100
10 on Ten	2004	88	NR	000010
10 pesos	2003	6	NR	000000
10 to Midnight	1983	101	NR	100000
10.000 dollari per un massacro	1967	100	NR	000000
10.7	1997	28	NR	000000
100 Days	1991	161	NR	000001
100 Days	2001	100	NR	000100
100 Girls	2000	90	R	001001
100 Mile Rule	2002	98	R	001000
100 Pro	2001	88	NR	001000
100 Proof	1997	94	NR	000100
100 Rifles	1969	110	NR	000000
100 Years at the Movies	1994	9	NR	000010
100 minuta slave	2004	100	NR	000100
1000 Boomerangs	1995	101	NR	000100
1000 Convicts and a Woman	1971	92	NR	000100
1000 Rosen	1994	95	NR	000100
1000 Shapes of a Female	1963	79	NR	001000
10000th Day, The	1997	18	NR	000000
1001 Arabian Nights	1959	75	NR	010000
1001 Erotic Nights 2	1986	79	NR	000000
1001 Nights	1998	23	NR	000000
1001 nuits, Les	1990	98	NR	000100
101	1989	117	NR	000010
101 Dalmatians	1996	103	NR	001000
101 Rent Boys	2000	78	NR	000010
101 Ways (The Things a Girl Will Do to Keep Her Volvo)	2000	100	NR	001000
101-vy kilometer	2001	103	NR	000100
101byeonjae propose	1993	112	NR	001001
102 Dalmatians	2000	100	NR	001000
10:10	2000	14	NR	000000
10:30 P.M. Summer	1966	85	NR	000100
10e chambre - Instants d'audience	2004	105	NR	000010
11 Harrowhouse	1974	94	NR	001000
11 Uhr 59	2000	11	NR	000000
11 commandements, Les	2004	85	NR	001000
11'09''01 - September 11	2002	134	NR	000100
11:11	2004	95	R	000000
11:14	2003	95	NR	001100
12 + 1	1969	94	NR	001000
12 Angry Men	1957	96	NR	000100
12 B	2001	150	NR	000100
12 Bucks	1998	86	NR	000100
12 Hot Women	2003	4	NR	001000
12 Stops on the Road to Nowhere	1999	18	NR	001000
12 horas	2001	89	NR	001100
12 mesyatsev	1956	55	NR	010000
12 stulev	1971	161	NR	001000
12 to the Moon	1960	74	NR	000000
120 Tage von Bottrop, Die	1997	60	NR	001000
125 rue Montmartre	1959	85	NR	000100
12:01 PM	1990	25	NR	000000
12:35	2002	92	NR	000100
13 Dead Men	2003	85	R	100000
13 Fighting Men	1960	69	NR	000000
13 Frightened Girls	1963	89	NR	000000
13 Ghosts	1960	85	NR	000000
13 Going On 30	2004	98	PG-13	001101
13 Lakes	2004	135	NR	000010
13 Moons	2002	93	R	001000
13 Rue Madeleine	1947	95	NR	000000
13 West Street	1962	80	NR	000100
13 kaidan	2003	122	NR	000000
13. jul	1982	110	NR	000100
13ta godenitsa na printsa	1987	89	NR	000000
13th Floor, The	1988	88	NR	000000
13th House, The	2003	58	NR	000000
13th Letter, The	1951	85	NR	000000
13th Man, The	1937	70	NR	000000
13th Sign, The	2000	85	NR	000000
13th Warrior, The	1999	102	R	100000
14 Carrot Rabbit	1952	7	NR	011000
14 Million Dreams	2003	52	NR	000110
14 numara	1985	83	NR	000100
14, The	1973	105	NR	000000
14/1 endlos	1998	27	NR	000000
1492: Conquest of Paradise	1992	154	NR	000100
14e kippetje, Het	1998	88	NR	001101
15	2003	90	NR	001100
15 Amore	1998	92	NR	000100
15 Minutes	1999	25	NR	001000
15 Minutes	2001	120	R	000100
15' zondergrond	2000	20	NR	000000
15-Sai: Gakko IV	2000	120	NR	000100
15.35: spoor 1	2003	74	NR	000100
16 Days of Glory	1985	145	NR	000010
16 December	2002	158	NR	100000
16 Fathoms Deep	1948	82	NR	000000
16/67: 20. September	1967	6	NR	000000
16060	1995	86	NR	000100
17 Seconds to Sophie	1998	1	NR	000010
17 and Under	1998	107	NR	000100
17 op	1989	75	NR	000000
17 rue Bleue	2001	95	NR	000100
1776	1972	180	PG	000100
1789	1974	150	NR	000000
17th Man, The	2004	23	NR	000000
18 Again!	1988	93	NR	001000
18 Shades of Dust	1999	87	R	000100
18 Weapons of Kung Fu	1977	89	NR	100100
18 anni tra una settimana	1991	98	NR	000100
18-j	2004	100	NR	000110
1860	1934	80	NR	000100
1871	1990	100	NR	000100
187: Documented	1997	58	NR	000110
1895	1995	30	NR	010000
19	2000	82	NR	000100
19 Months	2002	77	R	001000
19 djevojaka i Mornar	1971	73	NR	000000
1900	1976	245	NR	000100
1918	1985	94	NR	000100
1919	1985	99	NR	000100
1919	1997	8	NR	000000
1925 Studio Tour	1925	32	NR	000010
1939	1989	193	NR	000100
1941	1941	7	NR	000000
1941	1979	146	NR	001000
1942: A Love Story	1993	157	NR	100101
1952: Ivan i Aleksandra	1989	80	NR	000100
1955 Motion Picture Theatre Celebration	1955	18	NR	000010
1958	1980	96	NR	100100
1969	1988	95	NR	000100
1974	2000	8	NR	010000
1974, une partie de campagne	1974	90	NR	000010
1984	1956	90	NR	000100
1990: I guerrieri del Bronx	1982	89	NR	100000
1991: The Year Punk Broke	1992	99	NR	000010
1997 - Zapisi Rustema s risunkami	1998	80	NR	000000
1999	1998	92	R	000100
1999 - Nen no natsu yasumi	1988	90	NR	000100
1999 Madeleine	1999	86	NR	001001
2 A.M. in the Subway	1905	1	NR	001000
2 Birds with 1 Stallone	2002	76	NR	000100
2 Days in the Valley	1996	104	R	000100
2 Dyuo	1997	90	NR	000100
2 Fast 2 Furious	2003	107	PG-13	100000
2 G's & a Key	2000	97	NR	100000
2 Little, 2 Late	1999	87	NR	001100
2 bileta na dnevnoy seans	1966	90	NR	000000
2 deputati, I	1968	95	NR	001000
2 minutter	2001	8	NR	000000
2 or 3 Things But Nothing for Sure	1997	12	NR	000010
2 ou 3 choses que je sais d'elle	1967	90	NR	000100
2 ryk og 1 aflevering	2003	96	NR	001100
2 secondes	1998	100	NR	001101
2+1	2004	28	NR	001000
2+5: Missione Hydra	1965	89	NR	000000
2,000 Women	1944	97	NR	000000
2. juledag	2000	25	NR	000000
20 Dates	1998	87	R	001011
20 Fingers	2004	74	NR	000100
20 Million Miles to Earth	1957	82	NR	000000
20 Mule Team	1940	84	NR	000000
20,000 Cheers for the Chain Gang	1933	20	NR	001000
20,000 Leagues Under the Sea	1916	105	NR	100000
20,000 Years in Sing Sing	1932	78	NR	000100
20-seiki nosutarujia	1997	93	NR	000000
20. Juli, Der	1955	97	NR	000000
20/20 Vision	1999	20	NR	001000
200 American	2003	84	NR	000001
200 Cigarettes	1999	101	R	001100
200 Motels	1971	98	NR	001000
2000 Nordestes	2000	70	NR	000010
2000 Years Later	1969	80	NR	001000
20000 Leagues Under the Sea	1954	127	NR	000100
2001 Yonggary	1999	99	PG-13	100000
2001: A Space Odyssey	1968	156	NR	000000
2001: A Space Travesty	2000	99	R	001000
2002: The Rape of Eden	1994	90	NR	101100
2009: Lost Memories	2002	136	R	100100
201 Kanarinia, Ta	1964	96	NR	000000
2010	1984	116	NR	000000
2010: The Odyssey Continues	1984	18	NR	000010
2019 - Dopo la caduta di New York	1983	91	NR	100000
203 kochi	1980	185	NR	000100
2046	2004	129	R	000101
2069 A.D.	1969	75	NR	000000
2084	1984	10	NR	000010
20:30:40	2004	113	NR	001101
20h17 rue Darling	2003	101	NR	000100
21	2000	105	NR	001101
21 Grams	2003	124	R	000100
21-87	1964	10	NR	000000
2103: The Deadly Wake	1997	100	NR	000000
21st Century Jet: The Building of the 777	1996	285	NR	000010
22 June 1897	1979	121	NR	000100
23	1998	100	NR	000100
23 -- Skidoo	1930	10	NR	001000
23 Paces to Baker Street	1956	103	NR	000000
237	2000	12	NR	000000
23:58	1993	84	NR	000000
23rd March 1931: Shaheed	2002	188	NR	000000
24	2002	91	NR	000100
24 7: Twenty Four Seven	1997	96	R	001100
24 Hour Party People	2002	117	R	001100
24 Hour Woman, The	1999	93	R	001000
24 Hours	1931	66	NR	000000
24 Hours in London	2000	90	R	000000
24 Nights	1999	97	NR	001000
24 chasa	2000	86	NR	000100
24 heures de la vie d'une femme	2002	107	NR	000100
24 heures ou plus...	1977	114	NR	000000
24 horas de placer	1969	95	NR	001000
24-Seven	1999	8	NR	001000
24/24	2001	11	NR	000000
24fps	2000	6	NR	000000
24th Day, The	2004	92	R	000000
25 Kids and a Dad	2002	90	NR	000000
25 Watts	2001	92	NR	001100
25 Ways to Quit Smoking	1989	5	NR	011000
25th Hour	2002	135	R	000100
26 Summer Street	1996	17	NR	000000
27 Down	1974	118	NR	000000
27 Missing Kisses	2000	98	NR	001101
27 horas	1986	81	NR	000000
27A	1974	86	NR	000100
27th Day, The	1957	75	NR	000000
28 Days	2000	103	PG-13	000100
28 Days Later...	2002	113	R	000000
28 minuti per 3 milioni di dollari	1967	90	NR	000000
28 oktovriou, ora 5:30	1971	90	NR	000100
29 Palms	2002	93	R	001100
29th Street	1991	101	NR	001000
2BPerfectlyHonest	2004	88	R	001100
2LDK	2002	70	NR	000000
2by4	1998	90	NR	000100
2wks, 1yr	2002	104	NR	000000
3	1971	86	NR	000100
3 A.M.	1976	72	NR	000000
3 A.M.	2001	88	NR	000000
3 AM	2003	22	NR	000000
3 Bad Men	1926	122	NR	000000
3 Chinesen mit dem Kontrabass	2000	88	NR	001000
3 Days of Rain	2002	98	NR	000100
3 Dumb Clucks	1937	17	NR	001000
3 Feet Under: Digging Deep for the Geoduck	2003	63	NR	000010
3 Godfathers	1948	106	NR	000100
3 Little Ninjas and the Lost Treasure	1990	100	NR	000000
3 Men and a Little Lady	1990	104	NR	001000
3 Minute Wonder	2000	3	NR	000000
3 Misses	1998	11	NR	011000
3 Ninjas	1992	98	NR	101000
3 Ninjas Kick Back	1994	93	NR	101000
3 Ninjas Knuckle Up	1995	85	PG-13	101000
3 Ninjas: High Noon at Mega Mountain	1998	93	PG	101000
3 Nuts in Search of a Bolt	1964	78	NR	001000
3 Ring Circus	1954	103	NR	001000
3 Ring Wing-Ding	1968	6	NR	011000
3 Strikes	2000	82	NR	001000
3 Tage 44	2000	21	NR	000000
3 Weeks After Paradise	2002	51	NR	000000
3 Women	1977	124	NR	000100
3 Worlds of Gulliver, The	1960	100	NR	010000
3 dev adam	1973	81	NR	100000
3 hommes et un couffin	1985	106	NR	001000
3 noches	2001	105	NR	000000
3-4x juugatsu	1990	96	NR	101000
3-Way	2004	88	R	000100
30 Days	1999	87	NR	001001
30 Foot Bride of Candy Rock, The	1959	75	NR	001000
30 Frames a Second: The WTO in Seattle	2000	73	NR	000010
30 Is a Dangerous Age, Cynthia	1968	85	NR	001001
30 Winchester per El Diablo	1965	95	NR	000000
30 Years of Fun	1963	85	NR	001000
30 Years to Life	2001	110	R	001101
30 ans	2000	105	NR	000000
30 panen a Pythagoras	1977	68	NR	001000
30, Still Single: Contemplating Suicide	1998	91	NR	001000
300 Spartans, The	1962	114	NR	000100
3000 Miles to Graceland	2001	125	R	101000
301, 302	1995	100	NR	000000
30:e november	1995	116	NR	000100
31	2003	27	NR	000000
317e section, La	1965	86	NR	000000
322	1969	95	NR	000100
34-y skoryy	1981	83	NR	100000
35 Aside	1995	27	NR	001000
35 Miles from Normal	1997	99	NR	000100
36 Chowringhee Lane	1981	122	NR	000000
36 Deadly Styles, The	1980	92	NR	000000
36 Hours	1953	80	NR	000100
36 Hours	1965	115	NR	000000
36 fillette	1988	88	NR	000101
36 ore all'inferno	1969	93	NR	100000
365 Nights in Hollywood	1934	77	NR	001000
36K	2000	83	NR	000000
37 og et halvt	2005	101	NR	001100
39 Pounds of Love	2005	70	NR	000010
39 Steps, The	1935	86	NR	000100
39 Steps, The	1959	93	NR	000100
3:10 to Yuma	1957	92	NR	000000
3:15	1986	86	NR	100100
3:am	2005	21	NR	000000
3D	2000	24	NR	000000
3azima	2003	5	NR	000100
3groschenoper, Die	1931	112	NR	000000
3rd Voice, The	1960	79	NR	000100
4	2004	126	NR	000100
4 Artists Paint 1 Tree: A Walt Disney 'Adventure in Art'	1964	16	NR	000010
4 Clowns	1970	97	NR	001000
4 Devils	1928	97	NR	000100
4 Freunde und 4 Pfoten	2003	76	NR	000000
4 Inyong shiktak	2003	123	NR	000100
4 Little Girls	1997	102	NR	000010
4 P.M.	2000	15	NR	000100
4 Second Delay	1998	26	NR	000100
4 a.m.: Open All Night	1999	15	NR	000000
4 aventures de Reinette et Mirabelle	1987	99	NR	001100
4 for Texas	1963	124	NR	001000
4 maneras de tapar un hoyo	1995	8	NR	010000
4 marmittoni alle grandi manovre	1974	90	NR	001000
4 mosche di velluto grigio	1971	104	NR	000000
4 saisons d'Espigoule, Les	1999	97	NR	001010
4 x 4	1965	105	NR	000100
40	2002	12	NR	000000
40 Carats	1973	110	NR	001000
40 Days and 40 Nights	2002	96	R	001101
40 Days of Musa Dagh	1982	143	NR	000100
40 Guns to Apache Pass	1967	95	NR	000001
40 Pounds of Trouble	1962	106	NR	001000
40 Quadratmeter Deutschland	1986	80	NR	000100
40 gradi all'ombra del lenzuolo	1976	100	NR	001000
40 grados a la sombra	1967	90	NR	001000
40,000 Horsemen	1941	100	NR	000000
400 Million, The	1939	52	NR	000010
405	2000	11	NR	101000
420	2004	116	NR	001000
42K	2000	90	NR	101000
42nd Street	1933	89	NR	000101
42nd. Street Special, The	1933	6	NR	000010
43: The Richard Petty Story	1974	83	NR	000100
47 morto che parla	1950	95	NR	001000
48 Hrs.	1982	96	NR	101100
48 Stunden bis Acapulco	1967	81	NR	000000
491	1964	88	NR	000100
49th Man, The	1953	73	NR	000100
49th Parallel	1941	104	NR	000100
4D Man	1959	85	NR	100001
4th Floor, The	1999	90	R	000000
4th Tenor, The	2002	97	PG-13	001001
5 Against the House	1955	84	NR	000100
5 Branded Women	1960	118	NR	000100
5 Card Stud	1968	105	NR	000000
5 Card Stud	2002	96	NR	000001
5 Dark Souls	1996	94	NR	100000
5 Dead on the Crimson Canvas	1996	96	NR	000000
5 Fingers	1952	108	NR	000100
5 Millionen suchen einen Erben	1938	85	NR	001000
5 Steps to Danger	1957	81	NR	000100
5 bambole per la luna d'agosto	1970	90	NR	000000
5 de chocolate y 1 de fresa	1968	85	NR	001000
5 donne per l'assassino	1974	95	NR	000000
5 i fedtefadet, De	1970	90	NR	000000
5 og spionerne, De	1969	81	NR	000000
5 tombe per un medium	1965	85	NR	000000
5,000 Fingers of Dr. T., The	1953	89	NR	000000
50 First Dates	2004	99	PG-13	001001
50 Ways to Leave Your Lover	2004	95	NR	001001
50,000 B.C. (Before Clothing)	1963	75	NR	001000
50/50	1982	87	NR	000100
500 Years Later	2005	106	NR	000010
500!	2001	92	NR	001000
50CC	2000	41	NR	100001
51 Bar	1985	95	NR	000100
51st State, The	2001	92	R	101000
52 Pick-Up	1986	110	NR	100000
52nd Street	1937	80	NR	000100
54	1998	100	R	000100
55 Days at Peking	1963	150	NR	000100
588 rue paradis	1993	130	NR	000000
5th Ave Girl	1939	83	NR	001000
5th World	2005	75	NR	000100
5x2	2004	90	R	000101
6 Day Bike Rider	1934	69	NR	001000
6 Miles of 8 Feet	1999	22	NR	000000
6 Points	2004	85	NR	000100
6 dni strusia	2001	100	NR	000000
6.5 Special	1958	85	NR	000000
6000 Enemies	1939	62	NR	000000
633 Squadron	1964	103	NR	000100
64,000,000 Years Ago	1981	11	NR	010000
65, 66 och jag	1936	89	NR	001000
66 scener fra Amerika	1982	43	NR	000010
666 mo gui fu huo	1996	100	NR	100000
681-0638	2001	90	NR	001100
69	1968	5	NR	000000
69 - Sixtynine	1969	98	NR	000100
69 Park Avenue	1985	90	NR	000000
6ix	1999	11	NR	001000
6th Day, The	2000	123	PG-13	100000
7 Days In September	2002	94	NR	000010
7 Faces of Dr. Lao	1964	100	NR	000000
7 Lucky Ninja Kids	1989	90	NR	101000
7 Star Grand Mantis	1983	85	NR	101000
7 Wise Dwarfs	1941	4	NR	010000
7 Women	1966	87	NR	000100
7 Year Zig Zag	2003	90	NR	000100
7 Zwerge	2004	95	NR	001000
7 ans de mariage	2003	97	NR	001000
7 fois... par jour	1971	98	NR	001000
7 jin gong	1994	90	NR	100000
7 pra-jan-barn	2002	110	NR	101000
7, Hyden Park: la casa maledetta	1985	96	NR	000100
71 Fragmente einer Chronologie des Zufalls	1994	95	NR	000100
711 Ocean Drive	1950	102	NR	000100
72 Desperate Rebels	1972	93	NR	100100
72 Faced Liar	2003	15	NR	000000
72 metra	2004	100	NR	100100
7337	2000	17	NR	000000
76-89-03	2000	85	NR	001000
78 Tours	1985	4	NR	010000
79 primaveras	1969	25	NR	000010
7th Cavalry	1956	75	NR	000000
7th Dawn, The	1964	123	NR	000100
7th Street	2003	72	NR	000010
7th Voyage of Sinbad, The	1958	88	NR	100000
8 Ball Bunny	1950	7	NR	011000
8 Heads in a Duffel Bag	1997	94	R	001000
8 Mile	2002	110	R	000100
8 Million Ways to Die	1986	115	NR	100000
8 Seconds	1994	105	NR	000100
8 femmes	2002	111	R	001000
8 to 4	1981	77	NR	001000
8-A	1993	84	NR	000000
80 Steps to Jonah	1969	107	NR	000100
80's Ending	2003	9	NR	001000
80,000 Suspects	1963	113	NR	000100
800 Fantasy Lane	1979	82	NR	000000
800 Two Lap Runners	1994	110	NR	000000
800 balas	2002	124	R	001000
84 Charing Cross Road	1987	100	NR	000101
84C MoPic	1989	95	NR	000000
88 Antop Hill	2003	119	NR	000000
89 mm od Europy	1994	12	NR	000010
8MM	1999	123	R	000000
8cht	1997	7	NR	000000
9 Mornings	2002	100	NR	000001
9 Songs	2004	71	NR	000101
9 Souls	2003	120	NR	000100
9 dney odnogo goda	1961	120	NR	000100
9/30/55	1977	101	NR	000100
9/64: O Tannenbaum	1964	3	NR	000000
90	2005	14	NR	000000
90 Day Wondering	1956	6	NR	010000
90 Days	1985	100	NR	000000
90 Miles	2001	75	NR	000010
900 Women	2001	72	NR	000010
901: After 45 Years of Working	1990	29	NR	000010
91:an Karlsson muckar (tror han)	1959	90	NR	001000
91:an Karlssons bravader	1951	88	NR	001000
91:an och generalernas fnatt	1977	101	NR	001000
92 hak mooi gwai dui hak mooi gwai	1992	100	NR	101001
92 in the Shade	1975	93	NR	001100
9413	1998	90	NR	100000
964 Pinocchio	1991	93	NR	000000
97 ga yau choi si	1997	90	NR	001000
976-EVIL	1989	100	NR	000000
976-EVIL 2: The Astral Factor	1991	93	NR	000000
976-WISH	1997	42	NR	001001
99 Euro Films	2002	79	NR	000100
99 River Street	1953	83	NR	000100
99 Threadwaxing	1998	13	NR	000100
99 mujeres	1969	108	NR	100100
99.9	1997	106	NR	000000
999 Aliza Mizrahi	1967	104	NR	001100
999-9999	2002	103	NR	000000
9:30	2004	13	NR	000000
9mm of Love	2000	10	NR	001001
A	1998	136	NR	000010
A	2002	60	NR	000010
A & P	1996	17	NR	000100
A + (Amas)	2004	104	NR	001000
A 008, operazione Sterminio	1965	84	NR	100000
A 11-a porunca	1991	144	NR	000100
A Banna	1980	90	NR	000000
A Fei jing juen	1991	94	NR	000100
A Hunting We Will Go	1932	8	NR	011000
A Is for Atom	1953	14	NR	000100
A byl li Karotin	1989	161	NR	001000
A cavallo della tigre	1961	104	NR	001000
A cavallo della tigre	2002	98	NR	001000
A ciascuno il suo	1967	99	NR	000100
A ciegas	1997	92	NR	000000
A doppia faccia	1969	88	NR	000000
A esli eto lyubov?	1961	102	NR	000100
A futura memoria: Pier Paolo Pasolini	1986	115	NR	000010
A galope tendido	2000	87	NR	001000
A la medianoche y media	1999	90	NR	000100
A los cirujanos se les va la mano	1980	90	NR	001000
A los que aman	1998	98	NR	000101
A mezzanotte va la ronda del piacere	1975	100	NR	001100
A mi madre le gustan las mujeres	2002	96	NR	001000
A ruota libera	2000	89	NR	001000
A sega nakade?	1988	93	NR	000100
A spasso nel tempo	1996	94	NR	001000
A spasso nel tempo: l'avventura continua	1997	95	NR	001000
A tiro limpio	1963	86	NR	000000
A tiro limpio	1996	87	NR	000000
A tu per tu	1984	102	NR	001000
A un dios desconocido	1977	104	NR	000100
A zori zdes tikhie	1972	188	NR	100000
A+ Pollux	2002	90	NR	000001
A, B, C... Manhattan	1997	90	NR	000100
A-Ducking They Did Go	1939	17	NR	001000
A-Haunting We Will Go	1942	68	NR	001000
A-Haunting We Will Go	1966	6	NR	011000
A-Lad-In Bagdad	1938	8	NR	011000
A-Lad-in His Lamp	1948	7	NR	011000
A-Tom-inable Snowman, The	1966	6	NR	011000
A-ge-man	1990	114	NR	000000
A.B. normal college (Todo na 'yan, kulang pa 'yun)	2003	115	NR	001000
A.D.3 operazione squalo bianco	1966	82	NR	100000
A.D.A.M.	1988	98	NR	001000
A.K.	1985	71	NR	000010
A.K.A. Birdseye	2002	90	NR	001000
A.K.A. Don Bonus	1995	65	NR	000010
A.N.I. 1240	2003	13	NR	000000
A.P.E.X.	1994	98	NR	000000
A.S.S.	1988	80	NR	000000
A.W.O.L.	1918	5	NR	011000
A.k.a. Cassius Clay	1970	85	PG	000010
A/R andata+ritorno	2004	86	NR	001000
A2	2001	131	NR	000000
ABBA: The Movie	1977	96	NR	000010
ABC Africa	2001	83	NR	000010
ABC of Love and Sex: Australia Style, The	1978	85	NR	001010
ABC's of Happiness, The	2001	5	NR	010000
ABC's of Sex Education for Trainable Persons, The	1975	20	NR	000010
ABCD	1999	105	NR	000100
AC/DC: Let There Be Rock	1980	95	NR	000000
AFI's 100 Years... 100 Movies: The Antiheroes	1998	60	NR	000010
AKA	2002	123	R	000100
AVP: Alien Vs. Predator	2004	102	PG-13	100000
Aa Ab Laut Chalen	1999	178	NR	000101
Aa Gale Lag Jaa	1973	148	NR	000001
Aa Okkati Adakku	1993	155	NR	001000
Aab, baad, khaak	1989	75	NR	000000
Aadmi	1968	175	NR	000001
Aag	1948	138	NR	000001
Aah	1953	150	NR	000101
Aakhree Raasta	1986	164	NR	100000
Aakrosh	1980	144	NR	000000
Aaltra	2004	92	NR	001000
Aamdani Atthanni Kharcha Rupaiya	2001	150	NR	001000
Aan	1952	101	NR	000001
Aan: Men at Work	2004	149	NR	100100
Aandhi	1975	133	NR	000100
Aankhen	1993	170	NR	001000
Aankhen	2002	165	NR	001100
Aanslag, De	1986	144	NR	000100
Aanspreker, De	1999	26	NR	000100
Aap Ki Kasam	1974	153	NR	000101
Aapathbandavudu	1992	173	NR	000100
Aapo	1994	55	NR	000100
Aar Paar	1954	146	NR	000001
Aardwolf, De	1984	74	NR	000100
Aaron Cohen's Debt	1999	96	NR	000100
Aaron Loves Angela	1975	99	NR	000101
Aaron Slick from Punkin Crick	1952	95	NR	000000
Aashiq	2001	160	NR	101100
Aashiqui	1990	152	NR	000101
Aashirwad	1968	146	NR	000100
Aatish	1994	155	NR	100000
Aau chin	1999	93	NR	100100
Aau chin 2	2001	95	NR	100000
Aau dut	1997	81	NR	100100
Aau fung yee	2000	82	NR	000000
Ab ins Paradies	2001	90	NR	001000
Ab morgen sind wir reich und ehrlich	1976	82	NR	000000
Ab nach Tibet!	1994	128	NR	000000
Abade qingren	1995	115	NR	000000
